"","Gender","Ever_Married","Age","Graduated","Spending_Score","Family_Size"
"1293","Male","No",25,"No","Low",3
"1294","Female","Yes",62,"No","Average",5
"1295","Female","No",28,"Yes","Low",1
"1296","Female","Yes",49,"No","Low",1
"1297","Male","No",29,"Yes","Low",1
"1298","Male","No",52,"Yes","Low",1
"1299","Male","No",23,"No","Low",4
"1300","Male","No",18,"No","Low",3
"1301","Male","Yes",26,"Yes","Average",2
"1302","Male","Yes",51,"No","Low",4
"1303","Male","Yes",27,"No","High",3
"1304","Male","No",20,"No","Low",3
"1305","Male","Yes",62,"Yes","Low",1
"1306","Female","Yes",63,"No","Average",8
"1307","Male","No",53,"Yes","Low",1
"1308","Male","No",28,"No","Low",3
"1309","Female","No",33,"Yes","Low",3
"1310","Female","Yes",45,"Yes","Average",2
"1311","Male","Yes",61,"Yes","Average",2
"1312","Male","No",42,"No","Low",3
"1313","Male","Yes",52,"Yes","High",4
"1314","Female","Yes",51,"Yes","Low",1
"1315","Female","No",49,"No","Low",2
"1316","Male","Yes",51,"Yes","Low",2
"1317","Male","Yes",29,"No","Average",4
"1318","Male","Yes",53,"Yes","High",2
"1319","Male","Yes",40,"Yes","Low",1
"1320","Female","No",25,"Yes","Low",4
"1321","Female","Yes",29,"No","Average",2
"1322","Male","Yes",60,"Yes","Average",5
"1323","Female","No",25,"Yes","Low",3
"1324","Male","Yes",55,"Yes","High",2
"1325","Male","Yes",66,"Yes","High",2
"1326","Male","No",27,"Yes","Low",6
"1327","Male","Yes",51,"No","Average",4
"1328","Male","Yes",35,"No","Low",2
"1329","Male","Yes",65,"Yes","Low",2
"1330","Female","No",20,"No","Low",4
"1331","Male","No",32,"Yes","Low",5
"1332","Female","Yes",79,"Yes","High",2
"1333","Female","No",21,"No","Low",3
"1334","Male","No",36,"Yes","Low",1
"1335","Female","Yes",70,"Yes","Average",2
"1336","Female","No",28,"Yes","Low",3
"1337","Male","No",25,"Yes","Low",1
"1338","Female","Yes",36,"No","Low",2
"1339","Male","No",20,"No","Low",4
"1340","Male","Yes",49,"No","Low",2
"1341","Female","No",28,"Yes","Low",2
"1342","Female","Yes",49,"Yes","Average",6
"1343","Male","No",18,"No","Low",4
"1344","Female","Yes",46,"No","Average",5
"1345","Male","Yes",47,"No","Low",2
"1346","Female","No",32,"No","Low",1
"1347","Male","Yes",47,"Yes","Average",2
"1348","Female","Yes",49,"Yes","Average",4
"1349","Male","No",28,"No","Low",9
"1350","Male","Yes",58,"Yes","Average",3
"1351","Female","No",21,"No","Low",4
"1352","Male","Yes",53,"Yes","Average",2
"1353","Female","Yes",67,"Yes","Average",3
"1354","Male","No",26,"Yes","Low",5
"1355","Female","No",26,"No","Low",3
"1356","Male","Yes",40,"Yes","Average",2
"1357","Male","No",25,"Yes","Low",3
"1358","Male","No",41,"Yes","Low",1
"1359","Male","Yes",45,"Yes","High",3
"1360","Female","Yes",47,"Yes","Average",2
"1361","Male","Yes",27,"No","Average",3
"1362","Male","Yes",50,"Yes","Low",4
"1363","Male","Yes",51,"No","Average",2
"1364","Female","No",39,"Yes","Low",1
"1365","Male","Yes",60,"No","Average",3
"1366","Male","Yes",39,"No","Average",6
"1367","Female","Yes",65,"Yes","Low",1
"1368","Female","Yes",43,"Yes","Low",1
"1369","Female","Yes",58,"Yes","Average",6
"1370","Female","Yes",31,"No","Low",2
"1371","Female","Yes",38,"Yes","Low",1
"1372","Female","No",27,"Yes","Low",3
"1373","Female","Yes",58,"Yes","Average",2
"1374","Male","Yes",62,"Yes","High",2
"1375","Male","No",48,"Yes","Low",1
"1376","Male","Yes",57,"Yes","High",2
"1377","Male","Yes",42,"Yes","Average",5
"1378","Female","Yes",68,"Yes","High",2
"1379","Male","Yes",38,"Yes","Average",4
"1380","Male","Yes",31,"No","Average",3
"1381","Female","Yes",51,"No","Low",4
"1382","Male","Yes",59,"Yes","Average",4
"1383","Male","Yes",36,"Yes","Average",2
"1384","Male","Yes",32,"No","Average",3
"1385","Male","No",25,"Yes","Low",2
"1386","Male","Yes",48,"Yes","Low",1
"1387","Female","Yes",70,"Yes","Average",2
"1388","Female","Yes",42,"No","Low",3
"1389","Male","No",26,"No","Low",2
"1390","Male","No",25,"Yes","Low",4
"1391","Female","No",36,"Yes","Low",3
"1392","Male","No",42,"No","Low",1
"1393","Female","No",35,"Yes","Low",7
"1394","Female","Yes",22,"No","Average",2
"1395","Female","No",36,"Yes","Low",1
"1396","Male","Yes",47,"Yes","Average",3
"1397","Male","No",19,"No","Low",4
"1398","Male","Yes",36,"Yes","Low",2
"1399","Female","No",28,"Yes","Low",3
"1400","Male","Yes",52,"No","Average",4
"1401","Male","Yes",50,"Yes","Average",4
"1402","Male","Yes",47,"No","Low",4
"1403","Female","No",29,"Yes","Low",1
"1404","Female","No",23,"No","Low",4
"1405","Male","Yes",50,"Yes","Average",4
"1406","Female","No",21,"No","Low",4
"1407","Female","Yes",56,"Yes","Low",1
"1408","Male","Yes",32,"Yes","High",2
"1409","Female","No",32,"Yes","Low",9
"1410","Male","Yes",63,"Yes","High",2
"1411","Male","Yes",50,"No","Low",2
"1412","Male","Yes",52,"Yes","Low",4
"1413","Female","Yes",49,"Yes","Average",4
"1414","Male","No",62,"No","Low",1
"1415","Female","Yes",55,"No","Average",7
"1416","Male","No",27,"No","Low",3
"1417","Female","Yes",45,"Yes","Low",1
"1418","Female","Yes",31,"No","Average",2
"1419","Male","No",33,"Yes","Low",5
"1420","Male","Yes",52,"Yes","Average",2
"1421","Male","No",42,"Yes","Low",2
"1422","Male","No",38,"Yes","Low",3
"1423","Male","Yes",84,"Yes","High",2
"1424","Male","Yes",67,"Yes","High",3
"1425","Female","No",32,"No","Low",5
"1426","Female","No",33,"Yes","Low",2
"1427","Female","No",30,"Yes","Low",5
"1428","Male","No",18,"No","Low",4
"1429","Female","Yes",47,"Yes","Average",2
"1430","Male","No",29,"No","Low",4
"1431","Male","Yes",63,"No","High",4
"1432","Male","Yes",27,"Yes","Low",4
"1433","Female","Yes",43,"Yes","Low",1
"1434","Male","No",29,"No","Low",3
"1435","Female","Yes",57,"No","Low",1
"1436","Female","Yes",47,"No","Low",1
"1437","Female","Yes",32,"Yes","High",3
"1438","Female","Yes",25,"Yes","Average",2
"1439","Female","Yes",79,"Yes","High",2
"1440","Female","No",41,"Yes","Low",1
"1441","Male","Yes",36,"Yes","Average",2
"1442","Male","No",19,"No","Low",9
"1443","Female","Yes",49,"No","Average",5
"1444","Male","Yes",26,"No","High",2
"1445","Male","No",28,"Yes","Low",2
"1446","Male","No",84,"No","Low",1
"1447","Male","Yes",81,"No","Low",2
"1448","Female","No",35,"Yes","Low",1
"1449","Male","Yes",55,"Yes","Average",2
"1450","Male","Yes",50,"No","High",5
"1451","Male","Yes",78,"Yes","Low",5
"1452","Male","Yes",36,"No","Average",4
"1453","Male","No",47,"Yes","Low",1
"1454","Male","Yes",48,"No","Average",5
"1455","Female","Yes",69,"Yes","Low",2
"1456","Male","Yes",38,"No","High",4
"1457","Male","Yes",36,"Yes","Average",4
"1458","Female","Yes",52,"No","Average",4
"1459","Male","No",46,"Yes","Low",1
"1460","Male","No",18,"No","Low",6
"1461","Female","No",22,"No","Low",4
"1462","Male","No",18,"No","Low",6
"1463","Male","Yes",30,"No","Average",3
"1464","Male","No",32,"Yes","Low",3
"1465","Male","Yes",43,"No","High",4
"1466","Female","Yes",49,"Yes","Average",3
"1467","Female","No",40,"Yes","Low",2
"1468","Male","Yes",55,"Yes","Average",3
"1469","Female","No",33,"No","Low",7
"1470","Male","No",31,"Yes","Low",5
"1471","Female","No",35,"Yes","Low",6
"1472","Male","No",40,"Yes","Low",3
"1473","Male","Yes",69,"No","Average",3
"1474","Female","Yes",46,"Yes","Low",4
"1475","Female","Yes",63,"Yes","Low",2
"1476","Male","Yes",61,"Yes","Average",2
"1477","Female","No",50,"No","Low",1
"1478","Male","Yes",53,"Yes","High",3
"1479","Female","Yes",35,"Yes","Average",2
"1480","Male","No",19,"No","Low",3
"1481","Male","No",26,"No","Low",4
"1482","Female","Yes",38,"No","Average",4
"1483","Female","No",26,"No","Low",1
"1484","Male","Yes",39,"Yes","High",3
"1485","Male","Yes",39,"Yes","Low",4
"1486","Female","No",45,"Yes","Low",1
"1487","Male","Yes",47,"No","Average",4
"1488","Female","No",30,"Yes","Low",5
"1489","Male","Yes",48,"No","High",2
"1490","Female","Yes",76,"Yes","Low",2
"1491","Male","Yes",71,"Yes","Low",2
"1492","Female","No",41,"Yes","Low",1
"1493","Male","Yes",57,"Yes","Average",5
"1494","Male","Yes",49,"No","Low",1
"1495","Male","Yes",21,"No","High",8
"1496","Male","No",18,"No","Low",3
"1497","Male","No",22,"No","Low",3
"1498","Female","No",33,"No","Low",1
"1499","Male","Yes",53,"Yes","Low",3
"1500","Male","Yes",55,"Yes","Average",2
"1501","Male","Yes",73,"Yes","High",4
"1502","Male","Yes",89,"Yes","High",2
"1503","Male","Yes",59,"Yes","Low",2
"1504","Male","No",38,"Yes","Low",2
"1505","Female","No",42,"Yes","Low",2
"1506","Female","Yes",83,"Yes","High",2
"1507","Female","No",22,"No","Low",4
"1508","Male","Yes",46,"No","Average",4
"1509","Male","Yes",37,"Yes","Average",2
"1510","Female","Yes",42,"No","Low",3
"1511","Male","Yes",71,"Yes","Average",2
"1512","Female","No",18,"No","Low",3
"1513","Female","No",41,"Yes","Low",1
"1514","Male","Yes",27,"Yes","Low",5
"1515","Female","No",53,"No","Low",1
"1516","Female","No",28,"No","Low",3
"1517","Male","Yes",35,"Yes","Average",2
"1518","Male","No",18,"No","Low",2
"1519","Male","No",19,"No","Low",4
"1520","Female","No",32,"No","Low",4
"1521","Male","No",30,"No","Low",4
"1522","Male","No",36,"Yes","Low",1
"1523","Male","Yes",82,"Yes","High",2
"1524","Female","Yes",37,"Yes","Low",1
"1525","Male","No",45,"Yes","Low",1
"1526","Male","No",31,"Yes","Low",1
"1527","Male","Yes",27,"Yes","Low",4
"1528","Female","No",18,"No","Low",5
"1529","Male","Yes",22,"No","Low",4
"1530","Female","No",22,"No","Low",6
"1531","Female","No",42,"No","Low",1
"1532","Male","Yes",69,"No","Low",1
"1533","Female","Yes",43,"Yes","High",2
"1534","Female","Yes",89,"No","High",2
"1535","Female","No",26,"No","Low",4
"1536","Male","No",43,"Yes","Low",3
"1537","Male","Yes",30,"Yes","Average",2
"1538","Female","Yes",60,"Yes","Low",2
"1539","Female","Yes",38,"Yes","High",4
"1540","Male","Yes",45,"Yes","Average",2
"1541","Male","No",20,"No","Low",4
"1542","Female","Yes",51,"Yes","Low",1
"1543","Male","Yes",36,"Yes","Average",4
"1544","Female","No",41,"No","Low",3
"1545","Male","Yes",46,"No","Low",5
"1546","Female","No",30,"Yes","Low",1
"1547","Female","No",23,"No","Low",5
"1548","Male","Yes",39,"Yes","Low",2
"1549","Male","Yes",63,"Yes","Average",4
"1550","Male","Yes",60,"Yes","Average",3
"1551","Male","No",20,"No","Low",3
"1552","Female","Yes",89,"No","High",2
"1553","Male","No",43,"Yes","Low",4
"1554","Female","Yes",70,"No","High",2
"1555","Male","No",35,"Yes","Low",1
"1556","Male","Yes",42,"Yes","High",2
"1557","Male","Yes",39,"Yes","Average",2
"1558","Female","Yes",29,"Yes","Low",2
"1559","Female","Yes",74,"No","Low",1
"1560","Male","Yes",41,"Yes","Low",2
"1561","Male","Yes",51,"Yes","Average",4
"1562","Male","Yes",50,"Yes","High",3
"1563","Male","No",23,"No","Low",3
"1564","Male","No",36,"Yes","Low",3
"1565","Male","No",36,"Yes","Low",1
"1566","Female","Yes",50,"Yes","Low",2
"1567","Male","No",23,"No","Low",4
"1568","Female","No",37,"No","Low",1
"1569","Male","Yes",65,"Yes","High",4
"1570","Female","No",26,"Yes","Low",1
"1571","Male","Yes",55,"Yes","Low",3
"1572","Male","Yes",65,"Yes","High",2
"1573","Female","Yes",72,"Yes","High",2
"1574","Male","Yes",51,"Yes","Average",2
"1575","Male","No",25,"Yes","Low",5
"1576","Male","Yes",38,"No","High",3
"1577","Male","Yes",55,"No","Average",2
"1578","Female","No",39,"Yes","Low",3
"1579","Female","Yes",62,"Yes","High",2
"1580","Female","Yes",37,"Yes","Average",2
"1581","Female","No",28,"No","Low",7
"1582","Female","No",32,"Yes","Low",6
"1583","Male","No",31,"Yes","Low",2
"1584","Female","No",31,"No","Low",3
"1585","Male","Yes",67,"Yes","Average",2
"1586","Female","No",72,"Yes","Low",1
"1587","Female","Yes",57,"No","Low",3
"1588","Male","Yes",36,"Yes","Average",2
"1589","Female","No",21,"No","Low",1
"1590","Male","Yes",47,"No","Average",5
"1591","Female","No",25,"Yes","Low",3
"1592","Female","Yes",41,"No","Average",2
"1593","Male","No",29,"Yes","Low",4
"1594","Male","No",21,"No","Low",3
"1595","Male","Yes",66,"Yes","Low",1
"1596","Male","Yes",27,"Yes","Low",2
"1597","Female","No",27,"No","Low",4
"1598","Male","Yes",52,"Yes","Low",1
"1599","Male","Yes",46,"Yes","Average",3
"1600","Female","No",23,"No","Low",4
"1601","Male","No",27,"Yes","Low",5
"1602","Female","Yes",52,"Yes","Low",3
"1603","Male","Yes",65,"No","Average",2
"1604","Male","No",42,"No","Low",3
"1605","Male","Yes",59,"No","Low",2
"1606","Female","Yes",45,"Yes","Low",1
"1607","Female","Yes",61,"No","High",3
"1608","Female","Yes",53,"Yes","Average",4
"1609","Female","Yes",37,"Yes","Average",2
"1610","Male","Yes",63,"Yes","High",5
"1611","Female","No",33,"No","Low",5
"1612","Female","Yes",50,"Yes","Low",3
"1613","Female","Yes",62,"Yes","Low",2
"1614","Male","Yes",49,"Yes","Average",8
"1615","Male","Yes",46,"Yes","Average",3
"1616","Male","Yes",53,"Yes","High",4
"1617","Female","Yes",42,"Yes","High",2
"1618","Female","Yes",28,"Yes","Low",1
"1619","Female","Yes",49,"Yes","Average",4
"1620","Male","Yes",35,"Yes","Average",2
"1621","Male","Yes",58,"Yes","High",2
"1622","Male","Yes",41,"No","Average",2
"1623","Male","Yes",32,"Yes","Average",2
"1624","Male","No",33,"No","Low",2
"1625","Male","Yes",69,"No","Low",5
"1626","Female","No",31,"No","Low",4
"1627","Female","Yes",68,"No","High",3
"1628","Female","No",39,"No","Low",3
"1629","Female","No",21,"No","Low",5
"1630","Female","Yes",39,"No","Average",3
"1631","Female","Yes",41,"Yes","Low",1
"1632","Male","Yes",49,"Yes","Average",4
"1633","Female","Yes",38,"Yes","Average",2
"1634","Female","Yes",52,"Yes","Low",4
"1635","Female","No",46,"Yes","Low",2
"1636","Male","No",28,"No","Low",3
"1637","Female","Yes",55,"Yes","High",5
"1638","Female","No",41,"Yes","Low",1
"1639","Male","Yes",47,"No","High",2
"1640","Male","Yes",52,"Yes","Low",3
"1641","Female","Yes",45,"Yes","High",4
"1642","Male","No",32,"No","Low",3
"1643","Male","Yes",78,"Yes","Low",1
"1644","Male","Yes",39,"No","Average",7
"1645","Male","Yes",38,"No","High",4
"1646","Female","Yes",50,"Yes","Average",4
"1647","Female","Yes",53,"Yes","High",4
"1648","Male","No",43,"Yes","Low",1
"1649","Male","Yes",59,"Yes","Average",3
"1650","Female","No",38,"No","Low",2
"1651","Male","Yes",42,"Yes","Average",2
"1652","Male","Yes",65,"Yes","Average",2
"1653","Male","Yes",79,"Yes","Low",2
"1654","Female","No",41,"Yes","Low",1
"1655","Male","Yes",42,"Yes","Low",2
"1656","Male","Yes",28,"No","Low",7
"1657","Male","Yes",49,"Yes","Average",2
"1658","Male","Yes",58,"Yes","Low",2
"1659","Male","Yes",69,"Yes","High",3
"1660","Female","No",35,"Yes","Low",1
"1661","Female","Yes",47,"No","High",2
"1662","Female","No",25,"Yes","Low",1
"1663","Female","Yes",38,"Yes","Low",2
"1664","Female","No",25,"No","Low",3
"1665","Male","Yes",76,"No","Low",1
"1666","Female","No",23,"No","Low",5
"1667","Female","Yes",49,"Yes","Average",3
"1668","Female","Yes",56,"Yes","Low",1
"1669","Female","Yes",71,"Yes","High",2
"1670","Female","No",39,"No","Low",3
"1671","Female","No",41,"Yes","Low",3
"1672","Female","Yes",27,"No","Low",1
"1673","Female","No",23,"No","Low",3
"1674","Female","Yes",35,"Yes","Average",2
"1675","Female","Yes",33,"No","Low",2
"1676","Female","Yes",49,"No","Low",1
"1677","Male","Yes",42,"No","Low",3
"1678","Male","No",39,"Yes","Low",1
"1679","Male","Yes",68,"Yes","Low",1
"1680","Male","Yes",57,"Yes","Low",1
"1681","Male","No",38,"Yes","Low",1
"1682","Female","Yes",35,"No","Average",5
"1683","Female","Yes",41,"Yes","Low",3
"1684","Male","Yes",40,"Yes","Average",4
"1685","Female","No",32,"Yes","Low",3
"1686","Male","Yes",53,"Yes","Average",4
"1687","Female","Yes",38,"Yes","Average",3
"1688","Female","Yes",68,"No","Low",2
"1689","Male","No",30,"No","Low",2
"1690","Male","Yes",52,"No","Average",5
"1691","Male","Yes",80,"Yes","Low",1
"1692","Female","No",31,"Yes","Low",7
"1693","Female","Yes",38,"No","Average",4
"1694","Male","Yes",87,"No","High",2
"1695","Male","No",23,"No","Low",4
"1696","Male","No",45,"Yes","Low",1
"1697","Male","Yes",36,"Yes","Average",4
"1698","Male","Yes",41,"No","High",2
"1699","Female","Yes",48,"Yes","Low",4
"1700","Male","Yes",70,"Yes","High",5
"1701","Female","Yes",84,"Yes","High",2
"1702","Male","Yes",39,"Yes","Average",2
"1703","Female","No",39,"Yes","Low",1
"1704","Male","Yes",50,"Yes","Average",4
"1705","Male","Yes",40,"Yes","Low",5
"1706","Male","Yes",39,"Yes","Average",2
"1707","Male","Yes",38,"Yes","Average",3
"1708","Male","Yes",71,"No","High",2
"1709","Female","No",35,"Yes","Low",1
"1710","Male","Yes",27,"Yes","Low",5
"1711","Male","Yes",33,"No","Average",3
"1712","Male","Yes",37,"No","Average",3
"1713","Male","Yes",74,"Yes","High",2
"1714","Male","No",20,"No","Low",2
"1715","Female","Yes",30,"No","High",4
"1716","Male","No",22,"No","Low",4
"1717","Female","No",43,"Yes","Low",1
"1718","Male","No",36,"Yes","Low",2
"1719","Male","No",29,"Yes","Low",2
"1720","Female","No",43,"Yes","Low",6
"1721","Male","No",38,"Yes","Low",1
"1722","Female","Yes",40,"Yes","High",5
"1723","Female","Yes",68,"Yes","High",4
"1724","Female","No",35,"Yes","Low",2
"1725","Female","No",23,"No","Low",4
"1726","Male","No",50,"Yes","Low",1
"1727","Female","No",32,"Yes","Low",5
"1728","Male","Yes",59,"Yes","Low",1
"1729","Female","No",30,"Yes","Low",5
"1730","Female","No",35,"Yes","Low",1
"1731","Male","No",48,"Yes","Low",2
"1732","Male","No",29,"No","Low",4
"1733","Female","Yes",40,"Yes","Average",2
"1734","Male","Yes",38,"Yes","Average",3
"1735","Male","Yes",36,"No","Low",1
"1736","Male","No",20,"No","Low",4
"1737","Male","No",29,"No","Low",3
"1738","Male","Yes",42,"No","High",3
"1739","Female","Yes",35,"Yes","Low",1
"1740","Female","Yes",37,"No","Average",6
"1741","Female","Yes",52,"No","Average",4
"1742","Male","No",53,"Yes","Low",2
"1743","Male","Yes",30,"No","High",6
"1744","Female","Yes",65,"Yes","Low",2
"1745","Female","No",23,"No","Low",3
"1746","Female","No",32,"No","Low",3
"1747","Female","No",36,"Yes","Low",1
"1748","Male","No",27,"No","Low",3
"1749","Male","Yes",36,"Yes","Low",2
"1750","Male","No",37,"Yes","Low",1
"1751","Male","No",29,"No","Low",3
"1752","Male","No",29,"Yes","Low",5
"1753","Male","No",27,"Yes","Low",6
"1754","Female","No",35,"Yes","Low",1
"1755","Male","No",40,"Yes","Low",1
"1756","Male","No",37,"Yes","Low",4
"1757","Male","No",19,"No","Low",5
"1758","Male","No",29,"Yes","Low",4
"1759","Female","Yes",53,"Yes","Average",2
"1760","Female","Yes",38,"Yes","Low",1
"1761","Male","Yes",48,"Yes","Low",6
"1762","Female","No",26,"No","Low",1
"1763","Female","No",30,"Yes","Low",4
"1764","Male","No",30,"No","Low",2
"1765","Male","Yes",69,"No","High",3
"1766","Male","Yes",57,"Yes","Low",1
"1767","Female","Yes",56,"Yes","Average",2
"1768","Male","No",27,"Yes","Low",4
"1769","Male","No",21,"No","Low",6
"1770","Female","Yes",71,"Yes","High",4
"1771","Female","No",39,"Yes","Low",4
"1772","Female","Yes",87,"Yes","High",2
"1773","Male","Yes",59,"No","Average",3
"1774","Male","No",32,"Yes","Low",1
"1775","Male","Yes",40,"No","Low",4
"1776","Female","Yes",58,"Yes","High",3
"1777","Male","No",19,"No","Low",5
"1778","Female","No",31,"Yes","Low",9
"1779","Male","No",31,"No","Low",4
"1780","Female","Yes",43,"No","Average",2
"1781","Male","Yes",47,"No","Low",5
"1782","Male","No",35,"No","Low",4
"1783","Female","Yes",46,"Yes","Average",2
"1784","Male","Yes",69,"Yes","Low",2
"1785","Male","Yes",69,"Yes","High",3
"1786","Female","Yes",45,"Yes","Average",5
"1787","Male","Yes",38,"Yes","Low",4
"1788","Male","Yes",39,"Yes","High",3
"1789","Female","No",23,"No","Low",5
"1790","Female","Yes",58,"No","Average",6
"1791","Male","Yes",84,"Yes","High",2
"1792","Male","Yes",35,"Yes","Average",2
"1793","Female","No",22,"No","Low",2
"1794","Male","No",30,"No","Low",4
"1795","Male","No",23,"No","Low",2
"1796","Female","No",41,"Yes","Low",3
"1797","Male","Yes",50,"Yes","High",3
"1798","Male","Yes",50,"Yes","High",4
"1799","Female","No",28,"Yes","Low",1
"1800","Female","Yes",37,"Yes","Average",2
"1801","Male","No",19,"No","Low",6
"1802","Female","No",30,"Yes","Low",5
"1803","Male","Yes",73,"No","High",2
"1804","Male","Yes",50,"Yes","High",3
"1805","Male","Yes",51,"Yes","Low",2
"1806","Female","Yes",32,"Yes","High",2
"1807","Female","No",39,"Yes","Low",1
"1808","Male","No",43,"Yes","Low",4
"1809","Female","No",33,"Yes","Low",2
"1810","Male","Yes",61,"Yes","Average",3
"1811","Female","Yes",70,"Yes","Average",2
"1812","Male","Yes",66,"Yes","Average",2
"1813","Female","Yes",72,"Yes","Low",1
"1814","Male","Yes",71,"Yes","High",2
"1815","Male","No",18,"No","Low",9
"1816","Male","Yes",33,"No","Average",2
"1817","Male","No",28,"Yes","Low",1
"1818","Female","Yes",27,"Yes","Average",2
"1819","Female","Yes",38,"No","Low",5
"1820","Male","Yes",63,"Yes","Average",7
"1821","Male","Yes",70,"Yes","High",3
"1822","Female","No",26,"Yes","Low",1
"1823","Male","Yes",36,"No","Low",2
"1824","Female","Yes",47,"Yes","Low",3
"1825","Male","No",28,"No","Low",2
"1826","Female","No",26,"Yes","Low",5
"1827","Male","Yes",65,"No","High",2
"1828","Male","No",20,"No","Low",3
"1829","Male","Yes",30,"Yes","Average",2
"1830","Male","No",41,"Yes","Low",2
"1831","Female","No",40,"Yes","Low",1
"1832","Female","Yes",47,"No","Average",4
"1833","Male","Yes",40,"Yes","Average",5
"1834","Female","Yes",53,"No","Average",3
"1835","Female","No",28,"Yes","Low",2
"1836","Male","Yes",60,"Yes","Low",2
"1837","Female","No",27,"Yes","Low",1
"1838","Male","Yes",43,"Yes","Low",2
"1839","Female","No",33,"Yes","Low",3
"1840","Male","Yes",56,"Yes","Average",2
"1841","Male","Yes",70,"Yes","High",2
"1842","Male","Yes",70,"No","High",2
"1843","Male","Yes",73,"No","High",3
"1844","Female","Yes",38,"Yes","Average",2
"1845","Female","No",40,"Yes","Low",3
"1846","Female","No",29,"Yes","Low",4
"1847","Male","Yes",27,"Yes","High",2
"1848","Female","Yes",40,"Yes","Average",2
"1849","Male","Yes",82,"Yes","Low",1
"1850","Female","No",38,"Yes","Low",1
"1851","Male","Yes",39,"Yes","Average",3
"1852","Male","Yes",39,"Yes","Average",2
"1853","Male","No",47,"Yes","Low",1
"1854","Male","Yes",75,"Yes","High",2
"1855","Female","Yes",37,"No","Low",4
"1856","Male","Yes",84,"No","High",2
"1857","Female","No",42,"Yes","Low",2
"1858","Male","Yes",39,"Yes","Average",2
"1859","Male","Yes",42,"Yes","Average",2
"1860","Female","Yes",40,"Yes","Average",2
"1861","Female","No",52,"Yes","Low",1
"1862","Male","No",52,"No","Low",1
"1863","Male","No",31,"Yes","Low",4
"1864","Male","Yes",37,"Yes","Low",2
"1865","Male","No",27,"Yes","Low",1
"1866","Female","No",35,"Yes","Low",4
"1867","Male","Yes",79,"Yes","High",2
"1868","Female","No",28,"Yes","Low",4
"1869","Male","No",31,"No","Low",4
"1870","Male","Yes",88,"No","High",3
"1871","Female","No",51,"Yes","Low",1
"1872","Male","Yes",38,"Yes","Low",2
"1873","Female","Yes",53,"Yes","Average",2
"1874","Female","No",43,"Yes","Low",2
"1875","Male","Yes",55,"No","Low",2
"1876","Male","No",35,"Yes","Low",2
"1877","Female","Yes",25,"No","Average",2
"1878","Male","Yes",58,"Yes","Average",4
"1879","Female","No",32,"Yes","Low",6
"1880","Female","Yes",49,"No","Average",4
"1881","Female","Yes",53,"No","High",2
"1882","Female","Yes",31,"No","Low",4
"1883","Male","No",39,"Yes","Low",2
"1884","Male","No",42,"Yes","Low",1
"1885","Male","No",20,"No","Low",5
"1886","Male","Yes",50,"Yes","Low",2
"1887","Male","No",26,"No","Low",6
"1888","Male","Yes",46,"Yes","Average",3
"1889","Male","No",30,"Yes","Low",2
"1890","Female","Yes",60,"Yes","Average",2
"1891","Male","Yes",84,"No","Low",1
"1892","Female","No",37,"Yes","Low",1
"1893","Male","Yes",63,"Yes","Low",1
"1894","Female","No",38,"Yes","Low",2
"1895","Male","Yes",51,"Yes","Average",4
"1896","Male","No",20,"No","Low",4
"1897","Female","No",25,"No","Low",3
"1898","Female","No",33,"Yes","Low",5
"1899","Female","No",31,"No","Low",1
"1900","Male","Yes",57,"Yes","Low",3
"1901","Male","Yes",42,"Yes","Low",4
"1902","Male","Yes",40,"No","Average",5
"1903","Male","Yes",66,"No","High",3
"1904","Male","No",21,"No","Low",4
"1905","Male","Yes",73,"No","High",2
"1906","Female","Yes",46,"Yes","Low",2
"1907","Female","Yes",66,"Yes","Average",2
"1908","Male","Yes",27,"Yes","Average",2
"1909","Female","Yes",53,"No","High",4
"1910","Male","Yes",80,"No","Low",1
"1911","Female","Yes",63,"Yes","Average",3
"1912","Female","No",41,"Yes","Low",1
"1913","Male","Yes",43,"Yes","Average",4
"1914","Male","Yes",47,"Yes","High",3
"1915","Female","No",18,"No","Low",5
"1916","Female","No",33,"Yes","Low",4
"1917","Male","No",30,"No","Low",3
"1918","Male","Yes",85,"Yes","High",2
"1919","Male","Yes",48,"Yes","Low",2
"1920","Male","Yes",80,"Yes","High",2
"1921","Female","Yes",36,"Yes","High",7
"1922","Male","Yes",27,"No","Average",2
"1923","Male","No",28,"No","Low",5
"1924","Female","Yes",35,"Yes","Average",3
"1925","Male","No",26,"Yes","Low",3
"1926","Female","Yes",39,"Yes","Average",3
"1927","Female","Yes",56,"Yes","High",4
"1928","Female","No",26,"Yes","Low",2
"1929","Male","Yes",31,"Yes","Low",2
"1930","Male","No",21,"No","Low",2
"1931","Male","Yes",39,"No","Average",4
"1932","Female","No",51,"Yes","Low",1
"1933","Male","Yes",45,"No","Low",4
"1934","Female","Yes",80,"Yes","High",2
"1935","Male","Yes",77,"Yes","Low",1
"1936","Female","No",29,"No","Low",5
"1937","Female","Yes",33,"No","Average",5
"1938","Male","No",29,"No","Low",3
"1939","Male","Yes",43,"Yes","Low",2
"1940","Female","No",18,"No","Low",3
"1941","Male","Yes",53,"Yes","Average",3
"1942","Male","Yes",28,"Yes","Average",3
"1943","Female","No",43,"Yes","Low",4
"1944","Male","No",31,"Yes","Low",3
"1945","Female","No",28,"Yes","Low",2
"1946","Male","Yes",65,"Yes","Low",2
"1947","Male","Yes",33,"Yes","Average",2
